sim_id,name,base_sim,settings,best_contexts,light_conditions,subject_types,vibe,notes
FS001,Classic Cuban Neg,Classic Negative,"Grain Effect: Strong / Large, Color Chrome Effect: Strong, Color Chrome FX Blue: Strong, White Balance: Auto +4R -5B, Dynamic Range: DR400, Highlight: -2, Shadow: +1, Color: +4, Sharpness: 0, High ISO NR: -4, Clarity: -4, Exposure Compensation: 0, ISO: Auto, ISO 500 up to 6400","warm-sunlit_outdoor, travel, summer, nostalgia, vintage, bold_color_shifts, documentary, street, lifestyle","moderate_contrast, bright_daylight, warm_ambient","portrait, people, travel, landscape, architecture, street, everyday, candid","color_rich, stylised, film-print, mood-driven, strongly_nostalgic, soften_contrast","one of the most popular recipes, softens contrast pretty well"
FS002,3001,Classic Chrome,"Grain Effect: Off, Color Chrome Effect: Strong, Color Chrome FX Blue: Weak, White Balance: Daylight 0R 0B, Dynamic Range: DR400, Highlight: -1.5, Shadow: +0.5, Color: +3, Sharpness: -2, High ISO NR: 0, Clarity: 0, Exposure Compensation: 0, ISO: Start at 640 up to ISO 1600","street, travel, outdoor, indoor, lifestyle","medium_light, controlled_shadow, natural_daylight, bright_indoor, indoor","people, portrait, travel, pet, fine_detail, indoor, outdoor_landscape, nature","vibrant, moderate_contrast, deep","newer recipe, adding a light ""faded"", ""shaded"", higher contrast filter to the shot"
FS003,Cinematic Gold,Classic Negative,"Grain Effect: Strong/ Small, Color Chrome Effect: Off, Color Chrome FX Blue: Off, White Balance: Daylight +4R -5B, Dynamic Range: DR400, Highlight: 0, Shadow: 0, Color: +3, Sharpness: -2, High ISO NR: -4, Clarity: -2, Exposure Compensation: 0 to +1, ISO: Start at 640 ISO up to 1600","cinematic, environmental, lifestyle, urban_travel, creative, editorial, dusk_light, dawn_light, architecture, cityscape","natural_daylight, moderate_contrast, clean_light, controlled_shadows","people, portrait, urban_context, travel_context, lifestyle_detail, editorial_detail","sophisticated, warm, polished, atmosphetic, curated_aesthetic",one of the best to shoot urban landscape in a warm light environment
FS004,Summer Chrome,Classic Chrome,"Grain Effect: Strong / Large, Color Chrome Effect: Strong, Color Chrome FX Blue: Strong, White Balance: Auto +5R -6B, Dynamic Range: DR400, Highlight: -2, Shadow: -2, Color: +4, Sharpness: 0, High ISO NR: -4, Clarity: -4, Exposure Compensation: 0 to +1, ISO: Auto, ISO 500 up to ISO 6400","bright, warmer_summer, warm_outdoor, everyday_outdoor, travel, lifestyle, street, casual, vacation, explore","sunlight, strong_ambient, warm_temperature, open_shade, partial_sun, warm_direct_sun, mid-morning, late_afternoon","people, landscape, candid_portrait, textured_surface, street, travel, coastal_scene","nostalgic, sun-washed, film-print, lively, warm, inviting, warm_and_breezy","giving cuban vacation feels, no enhanced yellow hue"
FS005,Last Summer Roll,Classic Negative,"Grain Effect: Strong/ Small, Color Chrome Effect: Strong, Color Chrome FX Blue: Weak, White Balance: Auto +3R -5B, Dynamic Range: DR400, Highlight: -2, Shadow: 0, Color: +4, Sharpness: 0, High ISO NR: -4, Clarity: -2, Exposure Compensation: 0 to +1, ISO: Start at 640 ISO up to 1600","late-summer_outdoor, travel, holiday, lifestyle, street","warm_ambient, golden_hour, mixed_ambient, natural_light, soft_light","travel, portrait, candid, still_life, vintage_subject, outdoor","dreamy, relaxed, analog-inspired, nostalgic, sun-washed",works well with late summer outdoor shoots
FS006,High End,Eterna,"Grain Effect: Strong / Large, Color Chrome Effect: Strong, Color Chrome FX Blue: Strong, White Balance: Auto +4R -7B, Dynamic Range: DR400, Highlight: -2, Shadow: +1, Color: +3, Sharpness: 0, High ISO NR: -4, Clarity: 0, Exposure Compensation: 0 to +1, ISO: Start at 640 ISO up to 1600","premium_lifestyle, editorial, high-end_lifestyle, luxury_interior, luxurious_indoor, upscale, indoor, premium, high-end","controlled_daylight, clean_ambient, soft_contrast","model, people, portrait, interior_detail, architecture_detail, high-end_travel, luxury_environment","polished, sophisticated, premium, clean, timeless, elegant","shoot well with indoor, minimalist concepts and subjects"
FS007,Classic Continental,Classic Negative,"Grain Effect: Small/ Weak, Color Chrome Effect: Weak, Color Chrome FX Blue: Weak, White Balance: Auto +3R -2B, Dynamic Range: DR Auto, Highlight: -1, Shadow: -0.5, Color: +1, Sharpness: -1, High ISO NR: -4, Clarity: 0, Exposure Compensation: 0 to +1, ISO: Auto up to ISO 1600","travel, european_scene, architecture, lifestyle, continental","warm_ambient, moderate_contrast, natural_daylight","portrait, architecture, travel, lifestyle, european_vacation","refined, nostalgic, elegant, understated, atmospheric, composed",best for sunny beach vacation shooting
FS008,Corsican Nostalgic,Classic Negative,"Grain Effect: Off, Color Chrome Effect: Strong, Color Chrome FX Blue: Weak, White Balance: Auto +4R -6B, Dynamic Range: DR200, Highlight: -1, Shadow: -1, Color: 0, Sharpness: -2, High ISO NR: -4, Clarity: 0, Exposure Compensation: 0 to +1, ISO: Start at 640 ISO up to 1600","travel, lifestyle, everyday, analog-film_feel, textured_outdoor, vacation, weathered_architecture","moderate_contrast, natural_daylight, ambient_outdoor","portrait, landscape, architecture, urban, travel, lifestyle, urban_scene","warm-toned, nostalgic, textured, characterful, atmosphetic, relaxed_but_rich",works well when shooting natural environment with embedded details
FS009,Solaris,Classic Negative,"Grain Effect: Strong / Large, Color Chrome Effect: Strong, Color Chrome FX Blue: Weak, White Balance: Auto +1R -6B, Dynamic Range: DR400, Highlight: -1.5, Shadow: +2.5, Color: 3, Sharpness: -3, High ISO NR: -4, Clarity: -3, Exposure Compensation: 0 to -2/3, ISO: Start at 640 ISO up to 1600","travel, landscape, lifestyle, documentary, vintage, film-print, street","moderate, ambient_light, warmer, mixed_light","street, travel, environmental_shot, landscape, nature, architecture, portrait_with_ambient_detail","nostalgic, analogue, memory-driven, warm, textured, memory-driven, expressive, cinematic","gives euro summer vibes, works best when shooting outdoor under clear skies"
FS010,1976 Kodak,Nostalgic Negative,"Grain Effect: Strong/ Small, Color Chrome Effect: Strong, Color Chrome FX Blue: Off, White Balance: Auto -2R -4B, Dynamic Range: DR200, Highlight: +1.5, Shadow: +3, Color: +4, Sharpness: -2, High ISO NR: -4, Clarity: -3, Exposure Compensation: +1/3 to 1, ISO: Auto up to ISO 6400","street, travel, oudoor, suburban, small-town, landscape, seaside, coastal, textured_architecture","daylight, bright_ambient_outdoor, versatile","people, street, landscape, travel, urban, vintage, candid, daily, everyday, small-town","vintage, rich_colored, analogue_texture, emotional, memory-driven, artistic, warm-toned, classic",performs best in high contrast environments
FS011,Gold 400 Sicily,Reala Ace,"Grain Effect: Strong/ Small, Color Chrome Effect: Strong, Color Chrome FX Blue: Strong, White Balance: +6500K +1R +2B, Dynamic Range: DR400, Highlight: -1.5, Shadow: +1.5, Color: -2, Sharpness: -2, High ISO NR: -4, Clarity: -3, Exposure Compensation: 0 or 1/3, ISO: Start at 640 ISO up to 3200","sun-washed, mediterranean, lifestyle, european, travel, street, holiday_memory","bright, bright_natural, warm_sun, open_shade, strong_ambient, golden_hour, late_afternoon, early_morning","architecture, environmental_subject, landscape, coastline, seaview, cliffs, travel, detail_shots_with_texture, travel_portrait, candid_outdoor_scene","sun-drenched, nostalgic, warm, lively, relaxed, mediterranean, anologue, textured",works best with beach vacation shooting
FS012,Soft Look Film,Classic Negative,"Grain Effect: Small/ Weak, Color Chrome Effect: Off, Color Chrome FX Blue: Weak, White Balance: Auto +3R -6B, Dynamic Range: DR100, Highlight: -1, Shadow: -1, Color: +1, Sharpness: -1, High ISO NR: -4, Clarity: +2, Exposure Compensation: -1 to +1, ISO: Auto","intimate_portrait, lifestyle, candid, everyday, travel, memory-based, ambient_detail, textured_environment","soft_natural_light, window-light_indoors, golden_hour_outdoor, open_shade, ambient_light_indoor, mild_outdoor_light","portrait, interior, still-life, everyday_object, landscape, lifestyle, travel, urban",\,"giving euro summer vibes, also works well with water scenes"
FS013,Classic Color,Classic Chrome,"Grain Effect: Strong/ Small, Color Chrome Effect: Strong, Color Chrome FX Blue: Weak, White Balance: 5300K 0R -6B, Dynamic Range: DR400, Highlight: -0.5, Shadow: -2, Color: +3, Sharpness: -2, High ISO NR: -4, Clarity: -2, Exposure Compensation: 0 to +1, ISO: Auto up to ISO 6400","bright_daylight, sunny_daylight, warm, rural_textures, landscape, travel","direct_daylight, sunny_daylight, moderate_contrast, strong_ambient_daylight","landscape, travel_scenes, texture, architect, portrait_skin_warm, everyday_setting, rural_roads, reflections","warm, nostalgic, film-negative, timeless, versatile","might be giving ""too much blue hue"" under certain lighting conditions"
FS014,Fujifilm Natura 1600,Classic Negative,"Grain Effect: Strong / Large, Color Chrome Effect: Strong, Color Chrome FX Blue: Weak, White Balance: 5500 -1R -2B, Dynamic Range: DR400, Highlight: -1.5, Shadow: +1.5, Color: -2, Sharpness: -2, High ISO NR: -4, Clarity: -4, Exposure Compensation: +1/3 to 1, ISO: Auto up to ISO 6400","challenging_light_conditions, travel, dusk, indoor_ambient_light, textured_analog_look","moderate_light, low_light, ambient_light, indoor, evening","people, portrait, travel, landscape, dusk, dusk-to-night","nostalgic, texrtured, moody, colorful, warm_ambient, film-negative",works well with flowers (softer colors) or objects with decent/ high contrast
FS015,Fujicolor Super HG v2,Classic Negative,"Grain Effect: Weak/ Large, Color Chrome Effect: Weak, Color Chrome FX Blue: Weak, White Balance: Auto White Priority -3R -1B, Dynamic Range: DR400, Highlight: -1, Shadow: +1, Color: +2, Sharpness: 0, High ISO NR: -4, Clarity: +2, Exposure Compensation: +2/3 to +1, ISO: Auto up to ISO 6400","everyday, outdoor_with_texture, indoor, artificial_light, mixed_conditions","mixed, ambient, strong_daylight, lower_light, mixed_light","landscape, nature, people, street, architecture, texture-rich_scenes, candid_shots, desert, fences, stone_fencepost, outdoor_texture","film-negative, modern, nostalgic, gritty, textural, film-print-feeling, expressive",works well when opportunity for sharp contrast is presented
FS016,Vibrant Arizona,Classic Chrome,"Grain Effect: Weak/ Small, Color Chrome Effect: Off, Color Chrome FX Blue: Weak, White Balance: 4350K +6R -8B, Dynamic Range: DR-P Strong, Highlight: 0, Shadow: 0, Color: +4, Sharpness: -2, High ISO NR: -4, Clarity: -3, Exposure Compensation: +2/3 to +11/3, ISO: Auto up to ISO 6400","bright, warm_outdoor, travel, street, sunlit_landscapes, desert","sunny_daylight, warm_light, minimal_cloud, clear_skies","landscape, travel, street, environmental, everyday_object, everyday_scene, desert, suburb","saturated, bold, nostalgic, cinematic, retro, americana, stylised, dreamy, vintage-analogue",Wes Anderson look
FS017,Indoor Angouleme,Nostalgic Negative,"Grain Effect: Weak/ Small, Color Chrome Effect: Strong, Color Chrome FX Blue: Weak, White Balance: Auto Ambience Priority -2R -6B, Dynamic Range: DR400, Highlight: -2, Shadow: -2, Color: -1, Sharpness: -2, High ISO NR: -4, Clarity: -3, Exposure Compensation: +2/3 to +1, ISO: Auto up to ISO 6400","indoor, mixed_light_indoor, analogue_scene, small_rooms, cafes, vintage, editorial, ambient_light","artificial_indoor_light, mixed_indoor_light, ambient_indoor_light","indoor_portraits, people_in_cafe, editorial_shot, lifestyle_shot, still_life, still_object, interior, architecture, creative_indoor_scene","warm, nostalgic, film-print, analog, quiet_storytelling, ambient, memory-feeling",Wes Anderson look
FS018,Universal Negative,Any,"Grain Effect: Strong/ Small, Color Chrome Effect: Strong, Color Chrome FX Blue: Strong, White Balance: 4000K 0R -5B, Dynamic Range: DR400, Highlight: 0, Shadow: -2, Color: -2, Sharpness: -2, High ISO NR: -4, Clarity: 0, Exposure Compensation: -1/3 to +2/3, ISO: Auto up to ISO 6400","wide_variety, everyday, universal",natural_daylight,"people, urban, nature, detail, travel, architecture, daily, street","film-negative, balanced, consistent, nostalgic",can apply this recipe on top of different base simulations to add a negative look
FS019,Fujicolor Superia 1600,Classic Negative,"Grain Effect: Strong/ Large, Color Chrome Effect: Strong, Color Chrome FX Blue: Weak, White Balance: Daylight +3R +1B, Dynamic Range: DR400, Highlight: 0, Shadow: +2.5, Color: -3, Sharpness: -1, High ISO NR: -4, Clarity: -4, Exposure Compensation: 0 to +1, ISO: Auto up to ISO 6400, for best results 1600 to 6400","night-time, street, dusk_travel, low_light_scenario, textured, analog","moderate_light, lower_light","street, travel, urban_exploration, textured_scene, architecture, rough_surfaces, desert","gritty, colorful, anologue, nostalgic, expressive, dynamic","creating a deserty, lightly worn vibe when shooting in outdoor natural scenes, shooting in dark lighting conditions (evening) can help boosting the contrasted look"
FS020,Fujicolor Reala 100,Classic Negative,"Grain Effect: Weak/ Small, Color Chrome Effect: Strong, Color Chrome FX Blue: Weak, White Balance: Daylight 0R 0B, Dynamic Range: DR400, Highlight: -1, Shadow: -1, Color: 0, Sharpness: -2, High ISO NR: -4, Clarity: -3, Exposure Compensation: 0 to +1, ISO: Auto up to ISO 6400","everyday, outdoor_daylight, true-to-life, travel, street, portraits, coastal, beach, landscape","daylight, bright, outdoor_daylight","portrait, travel, coastal, nature, everyday_lifestyle_scene","natural, true-to-life, subtle, gently_nostalgic","can handle both indoor and outdoor shooting with defined, contrasted colors, portrait included"
FS021,Reala Ace,Classic Negative,"Grain Effect: Weak/ Small, Color Chrome Effect: Strong, Color Chrome FX Blue: Strong, White Balance: Auto -1R +1B, Dynamic Range: DR400, Highlight: -1.5, Shadow: -2, Color: +2, Sharpness: 0, High ISO NR: -4, Clarity: -2, Exposure Compensation: -1/3 to +1, ISO: Auto up to ISO 6400","everyday, travel, street, beach, lifestyle, outdoor, architecture, urban, casual","sunny_daylight, moderate_natural_light","travel, street, architecture, mixed_subject_matter","realistic, nostalgic, calm, refined","works best in natural outdoor scene under bright daylight, doesn't shoot portrait so well, can handle deep contrast"
FS022,Pacific Blues,Classic Negative,"Grain Effect: Strong/ Large, Color Chrome Effect: Strong, Color Chrome FX Blue: Weak, White Balance: 5800K +1R -3B, Dynamic Range: DR400, Highlight: -2, Shadow: +3, Color: +4, Sharpness: -2, High ISO NR: -4, Clarity: -3, Exposure Compensation: +2/3 to +1, ISO: Auto up to ISO 6400","summer_beach_daylight, open_light, airy, foggy_morning, desert_landscape, overcast_sky, garden_flower, beach","bright_daylight, summer_sun, daylight, soft_natural_light, fog, overcast","landscape, macro_scene, detail_scenes, nature, sea, coastal, desert","dreamy, sun-washed, slightly_retro, versatile, analogue","very versatile, works with different light scenarios and subjects, but works best with shooting natural elements outdoor"
FS023,Nostalgic Americana,Nostalgic Negative,"Grain Effect: Strong/ Large, Color Chrome Effect: Strong, Color Chrome FX Blue: Off, White Balance: 5800K -2R -4B, Dynamic Range: DR200, Highlight: -1, Shadow: -1.5, Color: -2, Sharpness: -2, High ISO NR: -4, Clarity: -3, Exposure Compensation: +1/3 to +2/3, ISO: Auto up to ISO 6400","retro_travel, roadtrip, outdoor, lifestyle, classic_architecture, worn_architecture","sunny_daylight, bright_open_light_outdoor, mid_to_high_contrast","rustic_element, vintage_element, travel, documentary","strongly nostalgic, sun-washed, retro, warm, rugged, textured","light yellow hues, lightly and softly faded look"
FS024,1970’s Summer,Nostalgic Negative,"Grain Effect: Strong/ Large, Color Chrome Effect: Strong, Color Chrome FX Blue: Strong, White Balance: 6500 -1R -4B, Dynamic Range: DR400, Highlight: -2, Shadow: -0.5, Color: -2, Sharpness: -2, High ISO NR: -4, Clarity: -3, Exposure Compensation: +1/3 to +1, ISO: Auto up to ISO 6400","sunny_outdoor_scenes, travel, street, rural, landscape, bright_daylight","strong_daylight, direct_sun, bright_open_light, sunny_daylight","landscape, street, architecture, travel_scenes, open_fields, rural_homes, trees_in_open_light, desert_bridges","strongly_nostalgic, cinematic, sun-washed, timeless, aged, dustry, warm",gives a natural yellow hue to landscape/ outdoor shoots
FS025,Thommy’s Ektachrome,Nostalgic Negative,"Grain Effect: Weak/ Small, Color Chrome Effect: Weak, Color Chrome FX Blue: Off, White Balance: 5000K -1R +3B, Dynamic Range: DR100, Highlight: +1.5, Shadow: +1.5, Color: +1, Sharpness: -1, High ISO NR: -4, Clarity: -2, Exposure Compensation: +0 to +1/3, ISO: Auto up to ISO 6400","overcast, shade, landscape, daylight, nature, documentary_style","bright_natural_daylight, well-balanced, direct_sun","landscape, nature, outdoor, travel, wilderness","crisp, natural_depth, gentle_contrast","works best when shooting natural details (flowers, trees, waterfalls)"
FS026,Fujifilm Negative,Reala Ace,"Grain Effect: Weak/ Small, Color Chrome Effect: Strong, Color Chrome FX Blue: Off, White Balance: 5000K 0R -2B, Dynamic Range: DR400, Highlight: -1, Shadow: -0.5, Color: +2, Sharpness: -1, High ISO NR: -4, Clarity: -2, Exposure Compensation: +1/3 to +1, ISO: Auto up to ISO 6400","daylight, sunny, overcast, indoor_natural_light","direct_daylight, daylight, soft_cloudy, shade, very_cool_light","people, outdoor, indoor_scene, everyday, lifestyle_subject, documentary_subject","film_negative, analog, authentic, moderate_saturation","pretty versatile, color is more vibrant and less negative when shooting under medium/ low light"
FS027,Kodak Portra 400,Classic Chrome,"Grain Effect: Strong/ Small, Color Chrome Effect: Strong, Color Chrome FX Blue: Weak, White Balance: Daylight +3R -5B, Dynamic Range: DR-Auto, Highlight: -1, Shadow: -2, Color: +2, Sharpness: -4, High ISO NR: -2, Clarity: +2, Exposure Compensation: +1/3 to +1, ISO: Auto up to ISO 6400","outdoor, landscape, nature","daylight, golden_hour, moderate_contrast","nature, color_interplay, warm_tones, foliage, water, trees","effortless, documentary_style, natural, refreshing",works best with shooting trees/ forests and natural scenes in the summer
FS028,Reggie’s Portra,Classic Chrome,"Grain Effect: Weak/ Small, Color Chrome Effect: Strong, Color Chrome FX Blue: Weak, White Balance: Auto +2R -4B, Dynamic Range: DR-Auto, Highlight: -1, Shadow: -1, Color: +2, Sharpness: -2, High ISO NR: -4, Clarity: 0, Exposure Compensation: +1/3 to +1, ISO: Auto up to ISO 6400","everyday, street, portrait, mixed_environments, travel, life","daylight, golden_hour, ambient_indoor","portraits, street_scenes, travel_scenes, interiors, ambient_lighting_scenes, lifestyle_objects","natural, softly_textured, nostalgic, softly_textured, elegant, tasteful_saturation","avoid extremely harsh, high-contrast midday light"
FS029,Old Kodak,Classic Chrome,"Grain Effect: Strong/ Small, Color Chrome Effect: Strong, Color Chrome FX Blue: Strong, White Balance: Auto White Priority +1R -6B, Dynamic Range: DR400, Highlight: +3.5, Shadow: -0.5, Color: +3, Sharpness: -2, High ISO NR: -4, Clarity: -2, Exposure Compensation: -1/3 to +1/3, ISO: Auto up to ISO 6400","nostalgic, everyday, daily_scenes, quiet_landscapes, travel, rural, vintage_street, vintage_architecture","soft, warm, slight_underexposure, light_contrast","rustic_subject, countryside, shadowed_scene, landscapes, architecture, vintage_object","nostalgic, analog, slightly_faded, modestly_cinematic, lightly_muted, deep_shadows","doesn't work well with indoor shootings, especially indoor portrait shootings"
FS030,Vintage Color,Eterna,"Grain Effect: Strong/ Large, Color Chrome Effect: Strong, Color Chrome FX Blue: Strong, White Balance: 7350K -1R -4B, Dynamic Range: DR200, Highlight: +2, Shadow: +3, Color: +1, Sharpness: -2, High ISO NR: -4, Clarity: -2, Exposure Compensation: +1/3 to +2/3, ISO: Auto up to ISO 6400","outdoor, nature, daylight","soft_natural, ambient, warm","mountain, nature, trees, forest, falls","vintage, higher_contrast, melancholic, cinematic, memory_like, deep_shadows",works very well with shooting mountains or nature